"name","vehicle_id","date","odometer","next_service_date","next_service_odometer","odometer_diff","state"
"SER/2021/00134",14499,"2020-09-30",43839,"2021-02-28",53839,10000,"done"
"SER/2021/00135",14658,"2021-01-24",28898,"2021-04-24",38898,10000,"done"
"SER/2021/00136",14727,"2021-01-25",22037,"2021-04-25",32037,10000,"done"
"SER/2021/00137",14350,"2021-01-25",83005,"2021-04-25",93005,10000,"done"
"SER/2021/00138",14501,"2020-11-12",11913,"2021-02-12",21913,10000,"done"
"SER/2021/00139",14191,"2020-08-15",371213,"2021-02-15",381213,10000,"done"
"SER/2021/00140",14790,"2021-01-05",21894,"2021-04-05",31894,10000,"done"
"SER/2021/00141",14272,"2020-09-15",73971,"2021-03-15",83971,10000,"done"
"SER/2021/00142",14273,"2020-10-10",94838,"2021-03-10",97232,2394,"done"
"SER/2021/00143",14793,"2020-12-19",28289,"2021-03-19",38289,10000,"done"
"SER/2021/00144",14274,"2020-12-13",88704,"2021-04-13",98704,10000,"done"
"SER/2021/00145",14785,"2020-10-19",12688,"2021-02-19",22688,10000,"done"
"SER/2021/00146",14275,"2020-08-10",63419,"2021-02-10",72881,9462,"done"
"SER/2021/00147",14797,"2020-09-27",16516,"2021-02-27",26516,10000,"done"
"SER/2021/00148",14276,"2020-08-10",63419,"2021-02-10",72881,9462,"done"
"SER/2021/00149",14783,"2021-01-03",23492,"2021-04-03",33492,10000,"done"
"SER/2021/00150",14333,"2020-12-27",133255,"2021-04-27",143255,10000,"done"
"SER/2021/00151",14784,"2020-12-22",36368,"2021-03-22",46368,10000,"done"
"SER/2021/00152",14788,"2020-10-25",14148,"2021-02-25",24148,10000,"done"
"SER/2021/00153",14787,"2021-01-11",19081,"2021-04-11",29081,10000,"done"
"SER/2021/00154",14799,"2020-09-14",13355,"2021-02-01",23355,10000,"done"
"SER/2021/00155",14786,"2021-01-07",20520,"2021-04-07",30520,10000,"done"
"SER/2021/00156",14798,"2020-09-19",11641,"2021-02-19",21641,10000,"done"
"SER/2021/00157",14337,"2020-09-19",50998,"2021-03-14",60998,10000,"done"
"SER/2021/00158",14338,"2020-09-02",37215,"2021-03-02",47215,10000,"done"
"SER/2021/00159",14339,"2020-09-19",60844,"2021-03-19",70844,10000,"done"
"SER/2021/00160",14340,"2020-09-16",65400,"2021-03-16",70402,5002,"done"
"SER/2021/00161",14341,"2020-09-08",47115,"2021-03-08",57115,10000,"done"
"SER/2021/00162",14796,"2020-08-08",6480,"2021-02-08",16480,10000,"done"
"SER/2021/00163",14342,"2020-11-30",75371,"2021-03-30",85371,10000,"done"
"SER/2021/00164",14345,"2021-01-11",86201,"2021-04-11",96201,10000,"done"
"SER/2021/00165",14347,"2020-12-08",79665,"2021-04-08",89665,10000,"done"
"SER/2021/00166",14348,"2020-11-22",94208,"2021-03-22",104208,10000,"done"
"SER/2021/00167",14349,"2020-11-15",97253,"2021-02-15",101272,4019,"done"
"SER/2021/00168",14351,"2020-09-22",85802,"2021-02-22",88259,2457,"done"
"SER/2021/00169",14352,"2020-07-29",87132,"2021-02-28",97132,10000,"done"
"SER/2021/00170",14353,"2020-09-02",63415,"2021-02-08",72704,9289,"done"
"SER/2021/00171",14355,"2020-09-16",57143,"2021-03-16",67143,10000,"done"
"SER/2021/00172",14356,"2020-11-05",127319,"2021-03-05",130245,2926,"done"
"SER/2021/00173",14357,"2020-07-26",57170,"2021-02-26",66718,9548,"done"
"SER/2021/00175",14359,"2021-01-04",68510,"2021-05-04",78510,10000,"done"
"SER/2021/00176",14360,"2020-10-28",78415,"2021-02-28",88415,10000,"done"
"SER/2021/00177",14399,"2020-11-10",71831,"2021-03-10",81831,10000,"done"
"SER/2021/00178",14400,"2020-09-10",19066,"2021-03-10",29066,10000,"done"
"SER/2021/00179",14400,"2020-11-24",58163,"2021-03-24",67284,9121,"done"
"SER/2021/00180",14402,"2020-10-14",73004,"2020-03-14",83004,10000,"done"
"SER/2021/00181",14403,"2020-08-03",26852,"2021-02-03",36852,10000,"done"
"SER/2021/00182",14404,"2020-09-22",39387,"2021-02-22",46553,7166,"done"
"SER/2021/00183",14405,"2020-08-18",60954,"2021-02-18",64768,3814,"done"
"SER/2021/00184",14406,"2020-10-29",40242,"2020-03-28",50242,10000,"done"
"SER/2021/00185",14407,"2020-09-10",19983,"2021-02-10",29983,10000,"done"
"SER/2021/00186",14408,"2020-08-17",26914,"2021-02-17",36914,10000,"done"
"SER/2021/00187",14409,"2021-01-04",14875,"2021-05-04",24875,10000,"done"
"SER/2021/00188",14410,"2020-08-26",27415,"2021-02-24",37415,10000,"done"
"SER/2021/00189",14411,"2020-10-08",29208,"2021-03-08",39208,10000,"done"
"SER/2021/00190",14412,"2020-09-23",8522,"2021-02-23",18522,10000,"done"
"SER/2021/00191",14413,"2020-12-23",8939,"2021-04-23",18939,10000,"done"
"SER/2021/00192",14414,"2020-08-25",39841,"2021-02-25",49841,10000,"done"
"SER/2021/00193",14415,"2020-12-13",57906,"2021-04-13",67906,10000,"done"
"SER/2021/00194",14416,"2020-08-30",7917,"2021-02-28",15069,7152,"done"
"SER/2021/00195",14419,"2020-08-24",46177,"2021-02-24",56177,10000,"done"
"SER/2021/00196",14420,"2020-09-12",36813,"2021-03-12",46813,10000,"done"
"SER/2021/00198",14421,"2020-11-22",65427,"2021-03-22",75427,10000,"done"
"SER/2021/00199",14488,"2020-09-13",41286,"2021-02-13",51286,10000,"done"
"SER/2021/00200",14489,"2020-09-13",45259,"2021-02-13",55259,10000,"done"
"SER/2021/00201",14490,"2020-09-03",18481,"2021-03-03",28481,10000,"done"
"SER/2021/00202",14501,"2020-11-12",11913,"2021-03-11",21913,10000,"done"
"SER/2021/00203",14503,"2020-11-18",72288,"2021-03-18",82288,10000,"done"
"SER/2021/00204",14503,"2020-11-18",72288,"2021-03-18",82288,10000,"done"
"SER/2021/00205",14502,"2020-10-12",42262,"2021-02-12",52262,10000,"done"
"SER/2021/00206",14504,"2020-07-20",73912,"2021-02-01",83912,10000,"done"
"SER/2021/00207",14491,"2020-10-26",35338,"2021-03-26",45338,10000,"done"
"SER/2021/00208",14510,"2020-07-26",23486,"2021-02-26",33486,10000,"done"
"SER/2021/00209",14505,"2020-10-24",50037,"2021-02-24",60037,10000,"done"
"SER/2021/00210",14492,"2020-12-19",42942,"2021-05-19",52942,10000,"done"
"SER/2021/00211",14506,"2019-10-26",19552,"2021-02-26",29552,10000,"done"
"SER/2021/00212",14493,"2020-08-04",47207,"2021-02-12",57207,10000,"done"
"SER/2021/00213",14507,"2020-12-28",46893,"2021-03-28",56893,10000,"done"
"SER/2021/00214",14508,"2020-03-10",50914,"2021-02-10",60914,10000,"done"
"SER/2021/00215",14494,"2020-08-04",25135,"2021-03-04",31828,6693,"done"
"SER/2021/00216",14495,"2021-01-12",28215,"2021-05-12",38215,10000,"done"
"SER/2021/00217",14511,"2021-01-12",47540,"2021-04-12",57540,10000,"done"
"SER/2021/00218",14512,"2020-12-28",65087,"2021-03-28",75087,10000,"done"
"SER/2021/00219",14496,"2021-01-07",73089,"2021-05-07",83089,10000,"done"
"SER/2021/00220",14513,"2020-09-08",30302,"2021-02-01",40302,10000,"done"
"SER/2021/00221",14537,"2021-01-26",53972,"2021-05-26",63972,10000,"done"
"SER/2021/00222",14514,"2020-10-25",42092,"2021-02-25",52092,10000,"done"
"SER/2021/00223",14497,"2020-07-25",24052,"2021-02-25",34052,10000,"done"
"SER/2021/00224",14515,"2020-08-05",20815,"2021-02-05",30815,10000,"done"
"SER/2021/00225",14575,"2021-01-09",22173,"2021-05-09",32173,10000,"done"
"SER/2021/00226",14576,"2020-06-24",14974,"2021-02-24",24974,10000,"done"
"SER/2021/00227",14577,"2020-07-27",23374,"2021-02-27",33374,10000,"done"
"SER/2021/00228",14578,"2020-07-07",4568,"2021-02-07",14568,10000,"done"
"SER/2021/00229",14579,"2020-08-05",33432,"2021-03-05",43432,10000,"done"
"SER/2021/00230",14580,"2020-09-27",17575,"2021-02-27",27575,10000,"done"
"SER/2021/00231",14581,"2020-08-25",48621,"2021-02-25",58621,10000,"done"
"SER/2021/00232",14582,"2020-12-07",79678,"2021-05-07",89678,10000,"done"
"SER/2021/00233",14583,"2020-11-17",52621,"2021-04-17",62621,10000,"done"
"SER/2021/00234",14794,"2020-12-14",23108,"2021-03-14",33108,10000,"done"
"SER/2021/00235",14436,"2020-09-06",78376,"2021-02-06",88376,10000,"done"
"SER/2021/00236",14452,"2021-01-12",85820,"2021-04-12",95820,10000,"done"
"SER/2021/00237",14457,"2021-01-27",68844,"2021-05-27",78844,10000,"done"
"SER/2021/00238",14549,"2021-01-27",75380,"2021-05-27",85380,10000,"done"
"SER/2021/00239",14344,"2021-01-25",60529,"2021-05-25",70529,10000,"done"
"SER/2021/00240",14714,"2021-01-28",12931,"2021-04-28",22931,10000,"done"
"SER/2021/00241",14422,"2020-09-25",34576,"2021-02-25",44576,10000,"done"
"SER/2021/00242",14423,"2020-09-09",19808,"2021-02-09",27758,7950,"done"
"SER/2021/00243",14426,"2021-01-12",59213,"2021-05-12",69213,10000,"done"
"SER/2021/00244",14428,"2020-09-23",42006,"2021-02-28",52006,10000,"done"
"SER/2021/00245",14523,"2020-10-01",11941,"2021-03-01",21941,10000,"done"
"SER/2021/00246",14524,"2020-09-03",25557,"2021-03-03",35557,10000,"done"
"SER/2021/00247",14526,"2020-09-03",39247,"2021-03-03",49247,10000,"done"
"SER/2021/00248",14528,"2020-07-08",45447,"2021-02-08",46447,1000,"done"
"SER/2021/00249",14532,"2020-12-09",52558,"2021-04-09",62558,10000,"done"
"SER/2021/00251",14534,"2020-12-19",54374,"2021-04-19",64374,10000,"done"
"SER/2021/00252",14535,"2020-09-03",23038,"2021-02-03",32038,9000,"done"
"SER/2021/00253",14653,"2021-01-28",23956,"2021-05-28",33956,10000,"done"
"SER/2021/00254",14536,"2020-09-13",44289,"2021-02-13",54289,10000,"done"
"SER/2021/00255",14540,"2020-12-19",29614,"2021-04-19",39614,10000,"done"
"SER/2021/00256",14541,"2020-08-22",37254,"2021-02-22",47254,10000,"done"
"SER/2021/00257",14384,"2021-01-27",83434,"2021-04-27",93434,10000,"done"
"SER/2021/00258",14597,"2021-01-28",41518,"2021-05-28",51518,10000,"done"
"SER/2021/00259",14476,"2021-01-28",57134,"2021-05-28",67134,10000,"done"
"SER/2021/00260",14404,"2021-01-28",47143,"2021-05-28",57143,10000,"done"
"SER/2021/00261",14260,"2021-01-28",85558,"2021-05-28",95558,10000,"done"
"SER/2021/00262",14516,"2021-01-06",59085,"2021-04-06",69085,10000,"done"
"SER/2021/00263",14518,"2020-09-17",59065,"2021-02-17",69065,10000,"done"
"SER/2021/00264",14519,"2020-08-11",21613,"2021-02-11",31613,10000,"done"
"SER/2021/00265",14739,"2021-01-30",18585,"2021-04-30",28585,10000,"done"
"SER/2021/00266",14520,"2021-01-13",48247,"2021-04-13",58247,10000,"done"
"SER/2021/00267",14542,"2020-10-29",22887,"2021-02-28",32887,10000,"done"
"SER/2021/00268",14791,"2020-11-19",29027,"2021-03-19",39027,10000,"done"
"SER/2021/00269",14521,"2020-12-07",40229,"2021-03-07",50229,10000,"done"
"SER/2021/00270",14544,"2020-11-17",53071,"2021-03-17",63071,10000,"done"
"SER/2021/00271",14522,"2020-11-18",68412,"2021-02-18",78412,10000,"done"
"SER/2021/00272",14792,"2020-08-11",3580,"2021-02-11",13580,10000,"done"
"SER/2021/00273",14545,"2020-12-19",63238,"2021-04-19",73238,10000,"done"
"SER/2021/00274",14570,"2020-10-25",40682,"2021-02-25",50682,10000,"done"
"SER/2021/00275",14529,"2020-09-13",9943,"2021-02-01",19943,10000,"done"
"SER/2021/00276",14571,"2020-08-25",37359,"2021-02-25",40927,3568,"done"
"SER/2021/00277",14531,"2020-10-18",25677,"2021-02-18",35677,10000,"done"
"SER/2021/00278",14572,"2020-01-09",42108,"2021-04-09",52108,10000,"done"
"SER/2021/00279",14538,"2020-08-04",17445,"2021-02-04",27445,10000,"done"
"SER/2021/00280",14573,"2021-01-05",39080,"2021-04-05",49080,10000,"done"
"SER/2021/00281",14574,"2020-12-29",6335,"2021-03-29",16335,10000,"done"
"SER/2021/00282",14262,"2020-09-06",79815,"2021-02-06",89815,10000,"done"
"SER/2021/00283",14263,"2020-12-19",97842,"2021-03-19",107842,10000,"done"
"SER/2021/00284",14264,"2020-09-02",88771,"2021-02-02",93708,4937,"done"
"SER/2021/00285",14695,"2020-09-29",7218,"2021-02-28",17218,10000,"done"
"SER/2021/00286",14266,"2020-09-03",82627,"2021-03-03",84291,1664,"done"
"SER/2021/00287",14267,"2020-10-25",77026,"2021-02-25",83440,6414,"done"
"SER/2021/00288",14320,"2020-07-27",81732,"2021-02-08",91732,10000,"done"
"SER/2021/00289",14886,"2020-12-24",5,"2021-02-24",1000,995,"done"
"SER/2021/00290",14697,"2020-09-13",10427,"2021-02-13",20427,10000,"done"
"SER/2021/00291",14323,"2020-09-20",17512,"2021-02-20",25843,8331,"done"
"SER/2021/00292",14698,"2020-09-16",5416,"2021-02-16",15416,10000,"done"
"SER/2021/00293",14324,"2020-11-07",89518,"2021-02-07",90032,514,"done"
"SER/2021/00294",14709,"2020-09-09",2,"2021-02-09",10000,9998,"done"
"SER/2021/00295",14366,"2020-08-24",15104,"2021-02-24",22828,7724,"done"
"SER/2021/00296",14709,"2020-07-20",337,"2021-02-20",7001,6664,"done"
"SER/2021/00297",14367,"2020-09-16",22673,"2021-03-16",32673,10000,"done"
"SER/2021/00298",14696,"2020-10-26",3374,"2021-02-26",13374,10000,"done"
"SER/2021/00299",14707,"2020-09-12",2,"2021-02-12",10000,9998,"done"
"SER/2021/00300",14881,"2020-12-24",744,"2021-03-24",1000,256,"done"
"SER/2021/00301",14827,"2020-10-07",19348,"2021-03-07",26591,7243,"done"
"SER/2021/00302",14883,"2020-12-26",5,"2021-03-26",1000,995,"done"
"SER/2021/00303",14822,"2020-09-27",19573,"2021-02-27",29573,10000,"done"
"SER/2021/00304",14864,"2021-01-05",5,"2021-04-05",1000,995,"done"
"SER/2021/00305",14368,"2020-08-27",17306,"2021-02-27",27306,10000,"done"
"SER/2021/00306",14813,"2020-10-26",4148,"2021-02-26",13683,9535,"done"
"SER/2021/00307",14826,"2020-10-10",24329,"2021-03-10",34329,10000,"done"
"SER/2021/00308",14862,"2021-01-05",5,"2021-04-05",1000,995,"done"
"SER/2021/00309",14369,"2020-09-07",35111,"2021-02-07",45111,10000,"done"
"SER/2021/00310",14861,"2021-01-05",423,"2021-04-05",1000,577,"done"
"SER/2021/00311",14371,"2020-12-02",70471,"2021-03-02",80471,10000,"done"
"SER/2021/00312",14372,"2021-01-13",77245,"2021-04-13",87245,10000,"done"
"SER/2021/00313",14824,"2020-10-18",24997,"2021-03-18",34764,9767,"done"
"SER/2021/00314",14373,"2020-07-06",4850,"2021-02-06",28364,23514,"done"
"SER/2021/00315",14859,"2021-01-05",598,"2021-02-05",1000,402,"done"
"SER/2021/00316",14374,"2020-12-10",35900,"2021-03-10",51286,15386,"done"
"SER/2021/00317",14375,"2020-12-30",54067,"2021-04-01",64067,10000,"done"
"SER/2021/00318",14487,"2020-07-19",9924,"2021-02-19",19924,10000,"done"
"SER/2021/00319",14376,"2020-11-24",30335,"2021-02-24",40335,10000,"done"
"SER/2021/00320",14859,"2021-01-05",598,"2021-02-05",1000,402,"done"
"SER/2021/00321",14377,"2020-12-09",37947,"2021-03-09",47947,10000,"done"
"SER/2021/00322",14895,"2021-01-05",66,"2021-04-05",1000,934,"done"
"SER/2021/00323",14378,"2020-08-03",32458,"2021-02-03",42458,10000,"done"
"SER/2021/00324",14708,"2020-08-26",14893,"2021-02-26",24893,10000,"done"
"SER/2021/00325",14894,"2020-12-26",735,"2021-03-26",1000,265,"done"
"SER/2021/00326",14379,"2020-10-27",45061,"2021-02-27",55061,10000,"done"
"SER/2021/00327",14380,"2020-04-22",58690,"2021-02-01",68690,10000,"done"
"SER/2021/00328",14584,"2020-08-16",32499,"2021-02-16",42499,10000,"done"
"SER/2021/00329",14418,"2020-11-04",18311,"2021-02-04",28311,10000,"done"
"SER/2021/00330",14585,"2020-12-30",32998,"2021-04-30",42998,10000,"done"
"SER/2021/00331",14586,"2020-09-29",39346,"2021-03-29",49346,10000,"done"
"SER/2021/00332",14424,"2020-12-05",42975,"2021-03-05",49975,7000,"done"
"SER/2021/00333",14587,"2021-01-05",34685,"2021-05-05",44685,10000,"done"
"SER/2021/00334",14588,"2021-01-13",49660,"2021-04-13",58580,8920,"done"
"SER/2021/00335",14589,"2020-08-25",24070,"2021-02-25",34070,10000,"done"
"SER/2021/00336",14590,"2020-08-25",28150,"2021-02-25",38150,10000,"done"
"SER/2021/00337",14591,"2020-08-17",33373,"2021-02-17",43373,10000,"done"
"SER/2021/00338",14427,"2020-09-23",42006,"2021-02-23",52006,10000,"done"
"SER/2021/00339",14434,"2020-09-23",42006,"2021-03-23",52006,10000,"done"
"SER/2021/00340",14593,"2020-12-27",53160,"2021-03-27",63160,10000,"done"
"SER/2021/00341",14689,"2020-09-01",16412,"2021-02-01",26412,10000,"done"
"SER/2021/00342",14595,"2020-12-22",42556,"2021-03-22",52556,10000,"done"
