"id","name","vehicle_id","cost_subtype_id","next_service_date","next_service_date-2","date","odometer"
108,"SER/2021/00086",14557,49,"2021-03-13","2021-03-13","2020-08-13",32827
109,"SER/2021/00087",14859,49,NULL,NULL,"2021-01-05",169
110,"SER/2021/00088",14562,49,"2021-03-23","2021-03-23","2020-11-23",49258
111,"SER/2021/00089",14198,49,"2021-03-23","2021-03-23","2020-10-20",223498
112,"SER/2021/00090",14855,49,"2021-04-05","2021-04-05","2021-01-05",342
113,"SER/2021/00091",14858,49,"2021-04-05","2021-04-05","2021-01-05",80
114,"SER/2021/00092",14383,49,"2021-02-23","2021-02-23","2020-07-07",47343
115,"SER/2021/00093",14747,49,"2021-03-23","2021-03-23","2020-09-17",6103
116,"SER/2021/00094",14745,49,"2021-03-08","2021-03-08","2020-09-08",26674
117,"SER/2021/00095",14748,49,"2021-03-19","2021-03-19","2020-09-19",27921
118,"SER/2021/00096",14567,49,"2021-03-13","2021-03-13","2020-08-13",25959
119,"SER/2021/00097",14750,49,"2021-03-21","2021-03-21","2020-09-21",4547
120,"SER/2021/00098",14749,49,"2021-03-15","2021-03-15","2020-09-15",3326
121,"SER/2021/00099",14282,49,"2020-03-18","2020-03-18","2020-11-18",77792
122,"SER/2021/00100",14283,49,"2020-03-08","2020-03-08","2020-09-08",73135
123,"SER/2021/00101",14286,49,"2021-03-19","2021-03-19","2020-12-19",114322
124,"SER/2021/00102",14287,49,"2021-02-22","2021-02-22","2020-09-22",93321
125,"SER/2021/00103",14288,49,"2021-03-02","2021-03-02","2020-12-02",90241
126,"SER/2021/00104",14289,49,"2021-03-07","2021-03-07","2020-11-07",56564
127,"SER/2021/00105",14290,49,"2021-03-08","2021-03-08","2020-11-08",69397
128,"SER/2021/00106",14291,49,"2021-04-16","2021-04-16","2021-01-16",110806
129,"SER/2021/00107",14292,49,"2021-03-05","2021-03-05","2020-12-05",98578
130,"SER/2021/00108",14295,49,"2021-02-08","2021-02-08","2020-10-08",92354
131,"SER/2021/00109",14296,49,"2021-02-16","2021-02-16","2020-07-16",35364
132,"SER/2021/00110",14297,49,"2021-03-09","2021-03-09","2020-12-09",93997
133,"SER/2021/00111",14298,49,"2021-04-07","2021-04-07","2021-01-07",83849
134,"SER/2021/00112",14299,49,"2021-03-12","2021-03-12","2020-11-12",109828
135,"SER/2021/00113",14322,49,"2021-02-12","2021-02-12","2020-08-12",70563
136,"SER/2021/00115",14428,49,"2021-02-11","2021-02-11","2020-08-11",28564
137,"SER/2021/00116",14370,49,"2021-04-02","2021-04-02","2020-12-02",46455
138,"SER/2021/00117",14361,49,"2021-04-05","2021-04-05","2020-12-05",79002
139,"SER/2021/00118",14301,49,"2021-02-20","2021-02-20","2020-06-20",65467
140,"SER/2021/00119",14312,49,"2021-02-06","2021-02-06","2020-07-06",8727
141,"SER/2021/00120",14525,49,"2021-05-24","2021-05-24","2021-01-24",44189
142,"SER/2021/00121",14666,49,"2021-04-23","2021-04-23","2021-01-23",32707
143,"SER/2021/00122",14721,49,"2021-04-24","2021-04-24","2021-01-24",28240
144,"SER/2021/00123",14552,49,"2021-04-23","2021-04-23","2021-01-23",69041
145,"SER/2021/00124",14717,49,"2021-04-23","2021-04-23","2021-01-23",41582
146,"SER/2021/00125",14685,49,"2021-04-24","2021-04-24","2021-01-23",35820
147,"SER/2021/00126",14674,49,"2021-04-23","2021-04-23","2021-01-23",NULL
148,"SER/2021/00127",14319,49,"2021-03-08","2021-03-08","2020-12-08",111000
150,"SER/2021/00129",14261,49,"2021-02-13","2021-02-13","2020-09-13",78518
151,"SER/2021/00130",14437,49,"2021-02-01","2021-02-01","2020-07-06",4050
152,"SER/2021/00131",14438,49,"2021-02-10","2021-02-10","2020-09-10",34842
153,"SER/2021/00132",14441,49,"2021-03-11","2021-03-11","2020-11-11",29666
154,"SER/2021/00133",14498,49,"2021-02-21","2021-02-21","2020-10-21",59693
155,"SER/2021/00134",14499,49,"2021-02-28","2021-02-28","2020-09-30",43839
156,"SER/2021/00135",14658,49,"2021-04-24","2021-04-24","2021-01-24",28898
157,"SER/2021/00136",14727,49,"2021-04-25","2021-04-25","2021-01-25",22037
158,"SER/2021/00137",14350,49,"2021-04-25","2021-04-25","2021-01-25",83005
159,"SER/2021/00138",14501,49,"2021-02-12","2021-02-12","2020-11-12",11913
160,"SER/2021/00139",14191,49,"2021-02-15","2021-02-15","2020-08-15",371213
161,"SER/2021/00140",14790,49,"2021-04-05","2021-04-05","2021-01-05",21894
162,"SER/2021/00141",14272,49,"2021-03-15","2021-03-15","2020-09-15",73971
163,"SER/2021/00142",14273,49,"2021-03-10","2021-03-10","2020-10-10",94838
164,"SER/2021/00143",14793,49,"2021-03-19","2021-03-19","2020-12-19",28289
165,"SER/2021/00144",14274,49,"2021-04-13","2021-04-13","2020-12-13",88704
166,"SER/2021/00145",14785,49,"2021-02-19","2021-02-19","2020-10-19",12688
167,"SER/2021/00146",14275,49,"2021-02-10","2021-02-10","2020-08-10",63419
168,"SER/2021/00147",14797,49,"2021-02-27","2021-02-27","2020-09-27",16516
169,"SER/2021/00148",14276,49,"2021-02-10","2021-02-10","2020-08-10",63419
170,"SER/2021/00149",14783,49,"2021-04-03","2021-04-03","2021-01-03",23492
171,"SER/2021/00150",14333,49,"2021-04-27","2021-04-27","2020-12-27",133255
172,"SER/2021/00151",14784,49,"2021-03-22","2021-03-22","2020-12-22",36368
173,"SER/2021/00152",14788,49,"2021-02-25","2021-02-25","2020-10-25",14148
174,"SER/2021/00153",14787,49,"2021-04-11","2021-04-11","2021-01-11",19081
175,"SER/2021/00154",14799,49,"2021-02-01","2021-02-01","2020-09-14",13355
176,"SER/2021/00155",14786,49,"2021-04-07","2021-04-07","2021-01-07",20520
177,"SER/2021/00156",14798,49,"2021-02-19","2021-02-19","2020-09-19",11641
178,"SER/2021/00157",14337,49,"2021-03-14","2021-03-14","2020-09-19",50998
179,"SER/2021/00158",14338,49,"2021-03-02","2021-03-02","2020-09-02",37215
180,"SER/2021/00159",14339,49,"2021-03-19","2021-03-19","2020-09-19",60844
181,"SER/2021/00160",14340,49,"2021-03-16","2021-03-16","2020-09-16",65400
182,"SER/2021/00161",14341,49,"2021-03-08","2021-03-08","2020-09-08",47115
183,"SER/2021/00162",14796,49,"2021-02-08","2021-02-08","2020-08-08",6480
184,"SER/2021/00163",14342,49,"2021-03-30","2021-03-30","2020-11-30",75371
185,"SER/2021/00164",14345,49,"2021-04-11","2021-04-11","2021-01-11",86201
186,"SER/2021/00165",14347,49,"2021-04-08","2021-04-08","2020-12-08",79665
187,"SER/2021/00166",14348,49,"2021-03-22","2021-03-22","2020-11-22",94208
188,"SER/2021/00167",14349,49,"2021-02-15","2021-02-15","2020-11-15",97253
189,"SER/2021/00168",14351,49,"2021-02-22","2021-02-22","2020-09-22",85802
190,"SER/2021/00169",14352,49,"2021-02-28","2021-02-28","2020-07-29",87132
191,"SER/2021/00170",14353,49,"2021-02-08","2021-02-08","2020-09-02",63415
192,"SER/2021/00171",14355,49,"2021-03-16","2021-03-16","2020-09-16",57143
193,"SER/2021/00172",14356,49,"2021-03-05","2021-03-05","2020-11-05",127319
194,"SER/2021/00173",14357,49,"2021-02-26","2021-02-26","2020-07-26",57170
196,"SER/2021/00175",14359,49,"2021-05-04","2021-05-04","2021-01-04",68510
197,"SER/2021/00176",14360,49,"2021-02-28","2021-02-28","2020-10-28",78415
198,"SER/2021/00177",14399,49,"2021-03-10","2021-03-10","2020-11-10",71831
199,"SER/2021/00178",14400,49,"2021-03-10","2021-03-10","2020-09-10",19066
200,"SER/2021/00179",14400,49,"2021-03-24","2021-03-24","2020-11-24",58163
201,"SER/2021/00180",14402,49,"2020-03-14","2020-03-14","2020-10-14",73004
202,"SER/2021/00181",14403,49,"2021-02-03","2021-02-03","2020-08-03",26852
203,"SER/2021/00182",14404,49,"2021-02-22","2021-02-22","2020-09-22",39387
204,"SER/2021/00183",14405,49,"2021-02-18","2021-02-18","2020-08-18",60954
205,"SER/2021/00184",14406,49,"2020-03-28","2020-03-28","2020-10-29",40242
206,"SER/2021/00185",14407,49,"2021-02-10","2021-02-10","2020-09-10",19983
207,"SER/2021/00186",14408,49,"2021-02-17","2021-02-17","2020-08-17",26914
208,"SER/2021/00187",14409,49,"2021-05-04","2021-05-04","2021-01-04",14875
209,"SER/2021/00188",14410,49,"2021-02-24","2021-02-24","2020-08-26",27415
210,"SER/2021/00189",14411,49,"2021-03-08","2021-03-08","2020-10-08",29208
211,"SER/2021/00190",14412,49,"2021-02-23","2021-02-23","2020-09-23",8522
212,"SER/2021/00191",14413,49,"2021-04-23","2021-04-23","2020-12-23",8939
213,"SER/2021/00192",14414,49,"2021-02-25","2021-02-25","2020-08-25",39841
214,"SER/2021/00193",14415,49,"2021-04-13","2021-04-13","2020-12-13",57906
215,"SER/2021/00194",14416,49,"2021-02-28","2021-02-28","2020-08-30",7917
216,"SER/2021/00195",14419,49,"2021-02-24","2021-02-24","2020-08-24",46177
217,"SER/2021/00196",14420,49,"2021-03-12","2021-03-12","2020-09-12",36813
219,"SER/2021/00198",14421,49,"2021-03-22","2021-03-22","2020-11-22",65427
220,"SER/2021/00199",14488,49,"2021-02-13","2021-02-13","2020-09-13",41286
221,"SER/2021/00200",14489,49,"2021-02-13","2021-02-13","2020-09-13",45259
222,"SER/2021/00201",14490,49,"2021-03-03","2021-03-03","2020-09-03",18481
223,"SER/2021/00202",14501,49,"2021-03-11","2021-03-11","2020-11-12",11913
224,"SER/2021/00203",14503,49,"2021-03-18","2021-03-18","2020-11-18",72288
225,"SER/2021/00204",14503,49,"2021-03-18","2021-03-18","2020-11-18",72288
226,"SER/2021/00205",14502,49,"2021-02-12","2021-02-12","2020-10-12",42262
227,"SER/2021/00206",14504,49,"2021-02-01","2021-02-01","2020-07-20",73912
228,"SER/2021/00207",14491,49,"2021-03-26","2021-03-26","2020-10-26",35338
229,"SER/2021/00208",14510,49,"2021-02-26","2021-02-26","2020-07-26",23486
230,"SER/2021/00209",14505,49,"2021-02-24","2021-02-24","2020-10-24",50037
231,"SER/2021/00210",14492,49,"2021-05-19","2021-05-19","2020-12-19",42942
232,"SER/2021/00211",14506,49,"2021-02-26","2021-02-26","2019-10-26",19552
233,"SER/2021/00212",14493,49,"2021-02-12","2021-02-12","2020-08-04",47207
234,"SER/2021/00213",14507,49,"2021-03-28","2021-03-28","2020-12-28",46893
235,"SER/2021/00214",14508,49,"2021-02-10","2021-02-10","2020-03-10",50914
236,"SER/2021/00215",14494,49,"2021-03-04","2021-03-04","2020-08-04",25135
237,"SER/2021/00216",14495,49,"2021-05-12","2021-05-12","2021-01-12",28215
238,"SER/2021/00217",14511,49,"2021-04-12","2021-04-12","2021-01-12",47540
239,"SER/2021/00218",14512,49,"2021-03-28","2021-03-28","2020-12-28",65087
240,"SER/2021/00219",14496,49,"2021-05-07","2021-05-07","2021-01-07",73089
241,"SER/2021/00220",14513,49,"2021-02-01","2021-02-01","2020-09-08",30302
242,"SER/2021/00221",14537,49,"2021-05-26","2021-05-26","2021-01-26",53972
243,"SER/2021/00222",14514,49,"2021-02-25","2021-02-25","2020-10-25",42092
244,"SER/2021/00223",14497,49,"2021-02-25","2021-02-25","2020-07-25",24052
245,"SER/2021/00224",14515,49,"2021-02-05","2021-02-05","2020-08-05",20815
246,"SER/2021/00225",14575,49,"2021-05-09","2021-05-09","2021-01-09",22173
247,"SER/2021/00226",14576,49,"2021-02-24","2021-02-24","2020-06-24",14974
248,"SER/2021/00227",14577,49,"2021-02-27","2021-02-27","2020-07-27",23374
249,"SER/2021/00228",14578,49,"2021-02-07","2021-02-07","2020-07-07",4568
250,"SER/2021/00229",14579,49,"2021-03-05","2021-03-05","2020-08-05",33432
251,"SER/2021/00230",14580,49,"2021-02-27","2021-02-27","2020-09-27",17575
252,"SER/2021/00231",14581,49,"2021-02-25","2021-02-25","2020-08-25",48621
253,"SER/2021/00232",14582,49,"2021-05-07","2021-05-07","2020-12-07",79678
254,"SER/2021/00233",14583,49,"2021-04-17","2021-04-17","2020-11-17",52621
255,"SER/2021/00234",14794,49,"2021-03-14","2021-03-14","2020-12-14",23108
256,"SER/2021/00235",14436,49,"2021-02-06","2021-02-06","2020-09-06",78376
257,"SER/2021/00236",14452,49,"2021-04-12","2021-04-12","2021-01-12",85820
258,"SER/2021/00237",14457,49,"2021-05-27","2021-05-27","2021-01-27",68844
259,"SER/2021/00238",14549,49,"2021-05-27","2021-05-27","2021-01-27",75380
260,"SER/2021/00239",14344,49,"2021-05-25","2021-05-25","2021-01-25",60529
261,"SER/2021/00240",14714,49,"2021-04-28","2021-04-28","2021-01-28",12931
262,"SER/2021/00241",14422,49,"2021-02-25","2021-02-25","2020-09-25",34576
263,"SER/2021/00242",14423,49,"2021-02-09","2021-02-09","2020-09-09",19808
264,"SER/2021/00243",14426,49,"2021-05-12","2021-05-12","2021-01-12",59213
265,"SER/2021/00244",14428,49,"2021-02-28","2021-02-28","2020-09-23",42006
266,"SER/2021/00245",14523,49,"2021-03-01","2021-03-01","2020-10-01",11941
267,"SER/2021/00246",14524,49,"2021-03-03","2021-03-03","2020-09-03",25557
268,"SER/2021/00247",14526,49,"2021-03-03","2021-03-03","2020-09-03",39247
269,"SER/2021/00248",14528,49,"2021-02-08","2021-02-08","2020-07-08",45447
270,"SER/2021/00249",14532,49,"2021-04-09","2021-04-09","2020-12-09",52558
271,"SER/2021/00251",14534,49,"2021-04-19","2021-04-19","2020-12-19",54374
272,"SER/2021/00252",14535,49,"2021-02-03","2021-02-03","2020-09-03",23038
273,"SER/2021/00253",14653,49,"2021-05-28","2021-05-28","2021-01-28",23956
274,"SER/2021/00254",14536,49,"2021-02-13","2021-02-13","2020-09-13",44289
275,"SER/2021/00255",14540,49,"2021-04-19","2021-04-19","2020-12-19",29614
276,"SER/2021/00256",14541,49,"2021-02-22","2021-02-22","2020-08-22",37254
277,"SER/2021/00257",14384,49,"2021-04-27","2021-04-27","2021-01-27",83434
278,"SER/2021/00258",14597,49,"2021-05-28","2021-05-28","2021-01-28",41518
279,"SER/2021/00259",14476,49,"2021-05-28","2021-05-28","2021-01-28",57134
280,"SER/2021/00260",14404,49,"2021-05-28","2021-05-28","2021-01-28",47143
281,"SER/2021/00261",14260,49,"2021-05-28","2021-05-28","2021-01-28",85558
282,"SER/2021/00262",14516,49,"2021-04-06","2021-04-06","2021-01-06",59085
283,"SER/2021/00263",14518,49,"2021-02-17","2021-02-17","2020-09-17",59065
284,"SER/2021/00264",14519,49,"2021-02-11","2021-02-11","2020-08-11",21613
285,"SER/2021/00265",14739,49,"2021-04-30","2021-04-30","2021-01-30",18585
286,"SER/2021/00266",14520,49,"2021-04-13","2021-04-13","2021-01-13",48247
287,"SER/2021/00267",14542,49,"2021-02-28","2021-02-28","2020-10-29",22887
288,"SER/2021/00268",14791,49,"2021-03-19","2021-03-19","2020-11-19",29027
289,"SER/2021/00269",14521,49,"2021-03-07","2021-03-07","2020-12-07",40229
290,"SER/2021/00270",14544,49,"2021-03-17","2021-03-17","2020-11-17",53071
291,"SER/2021/00271",14522,49,"2021-02-18","2021-02-18","2020-11-18",68412
292,"SER/2021/00272",14792,49,"2021-02-11","2021-02-11","2020-08-11",3580
293,"SER/2021/00273",14545,49,"2021-04-19","2021-04-19","2020-12-19",63238
294,"SER/2021/00274",14570,49,"2021-02-25","2021-02-25","2020-10-25",40682
295,"SER/2021/00275",14529,49,"2021-02-01","2021-02-01","2020-09-13",9943
296,"SER/2021/00276",14571,49,"2021-02-25","2021-02-25","2020-08-25",37359
297,"SER/2021/00277",14531,49,"2021-02-18","2021-02-18","2020-10-18",25677
298,"SER/2021/00278",14572,49,"2021-04-09","2021-04-09","2020-01-09",42108
299,"SER/2021/00279",14538,49,"2021-02-04","2021-02-04","2020-08-04",17445
300,"SER/2021/00280",14573,49,"2021-04-05","2021-04-05","2021-01-05",39080
301,"SER/2021/00281",14574,49,"2021-03-29","2021-03-29","2020-12-29",6335
302,"SER/2021/00282",14262,49,"2021-02-06","2021-02-06","2020-09-06",79815
303,"SER/2021/00283",14263,49,"2021-03-19","2021-03-19","2020-12-19",97842
304,"SER/2021/00284",14264,49,"2021-02-02","2021-02-02","2020-09-02",88771
305,"SER/2021/00285",14695,49,"2021-02-28","2021-02-28","2020-09-29",7218
306,"SER/2021/00286",14266,49,"2021-03-03","2021-03-03","2020-09-03",82627
307,"SER/2021/00287",14267,49,"2021-02-25","2021-02-25","2020-10-25",77026
308,"SER/2021/00288",14320,49,"2021-02-08","2021-02-08","2020-07-27",81732
309,"SER/2021/00289",14886,49,"2021-02-24","2021-02-24","2020-12-24",5
310,"SER/2021/00290",14697,49,"2021-02-13","2021-02-13","2020-09-13",10427
311,"SER/2021/00291",14323,49,"2021-02-20","2021-02-20","2020-09-20",17512
312,"SER/2021/00292",14698,49,"2021-02-16","2021-02-16","2020-09-16",5416
313,"SER/2021/00293",14324,49,"2021-02-07","2021-02-07","2020-11-07",89518
314,"SER/2021/00294",14709,49,"2021-02-09","2021-02-09","2020-09-09",2
315,"SER/2021/00295",14366,49,"2021-02-24","2021-02-24","2020-08-24",15104
316,"SER/2021/00296",14709,49,"2021-02-20","2021-02-20","2020-07-20",337
317,"SER/2021/00297",14367,49,"2021-03-16","2021-03-16","2020-09-16",22673
318,"SER/2021/00298",14696,49,"2021-02-26","2021-02-26","2020-10-26",3374
319,"SER/2021/00299",14707,49,"2021-02-12","2021-02-12","2020-09-12",2
320,"SER/2021/00300",14881,49,"2021-03-24","2021-03-24","2020-12-24",744
321,"SER/2021/00301",14827,49,"2021-03-07","2021-03-07","2020-10-07",19348
322,"SER/2021/00302",14883,49,"2021-03-26","2021-03-26","2020-12-26",5
323,"SER/2021/00303",14822,49,"2021-02-27","2021-02-27","2020-09-27",19573
324,"SER/2021/00304",14864,49,"2021-04-05","2021-04-05","2021-01-05",5
325,"SER/2021/00305",14368,49,"2021-02-27","2021-02-27","2020-08-27",17306
326,"SER/2021/00306",14813,49,"2021-02-26","2021-02-26","2020-10-26",4148
327,"SER/2021/00307",14826,49,"2021-03-10","2021-03-10","2020-10-10",24329
328,"SER/2021/00308",14862,49,"2021-04-05","2021-04-05","2021-01-05",5
329,"SER/2021/00309",14369,49,"2021-02-07","2021-02-07","2020-09-07",35111
330,"SER/2021/00310",14861,49,"2021-04-05","2021-04-05","2021-01-05",423
331,"SER/2021/00311",14371,49,"2021-03-02","2021-03-02","2020-12-02",70471
332,"SER/2021/00312",14372,49,"2021-04-13","2021-04-13","2021-01-13",77245
333,"SER/2021/00313",14824,49,"2021-03-18","2021-03-18","2020-10-18",24997
334,"SER/2021/00314",14373,49,"2021-02-06","2021-02-06","2020-07-06",4850
335,"SER/2021/00315",14859,49,"2021-02-05","2021-02-05","2021-01-05",598
336,"SER/2021/00316",14374,49,"2021-03-10","2021-03-10","2020-12-10",35900
337,"SER/2021/00317",14375,49,"2021-04-01","2021-04-01","2020-12-30",54067
338,"SER/2021/00318",14487,49,"2021-02-19","2021-02-19","2020-07-19",9924
339,"SER/2021/00319",14376,49,"2021-02-24","2021-02-24","2020-11-24",30335
340,"SER/2021/00320",14859,49,"2021-02-05","2021-02-05","2021-01-05",598
341,"SER/2021/00321",14377,49,"2021-03-09","2021-03-09","2020-12-09",37947
342,"SER/2021/00322",14895,49,"2021-04-05","2021-04-05","2021-01-05",66
343,"SER/2021/00323",14378,49,"2021-02-03","2021-02-03","2020-08-03",32458
344,"SER/2021/00324",14708,49,"2021-02-26","2021-02-26","2020-08-26",14893
345,"SER/2021/00325",14894,49,"2021-03-26","2021-03-26","2020-12-26",735
346,"SER/2021/00326",14379,49,"2021-02-27","2021-02-27","2020-10-27",45061
347,"SER/2021/00327",14380,49,"2021-02-01","2021-02-01","2020-04-22",58690
348,"SER/2021/00328",14584,49,"2021-02-16","2021-02-16","2020-08-16",32499
349,"SER/2021/00329",14418,49,"2021-02-04","2021-02-04","2020-11-04",18311
350,"SER/2021/00330",14585,49,"2021-04-30","2021-04-30","2020-12-30",32998
351,"SER/2021/00331",14586,49,"2021-03-29","2021-03-29","2020-09-29",39346
352,"SER/2021/00332",14424,49,"2021-03-05","2021-03-05","2020-12-05",42975
353,"SER/2021/00333",14587,49,"2021-05-05","2021-05-05","2021-01-05",34685
354,"SER/2021/00334",14588,49,"2021-04-13","2021-04-13","2021-01-13",49660
355,"SER/2021/00335",14589,49,"2021-02-25","2021-02-25","2020-08-25",24070
356,"SER/2021/00336",14590,49,"2021-02-25","2021-02-25","2020-08-25",28150
357,"SER/2021/00337",14591,49,"2021-02-17","2021-02-17","2020-08-17",33373
358,"SER/2021/00338",14427,49,"2021-02-23","2021-02-23","2020-09-23",42006
359,"SER/2021/00339",14434,49,"2021-03-23","2021-03-23","2020-09-23",42006
360,"SER/2021/00340",14593,49,"2021-03-27","2021-03-27","2020-12-27",53160
361,"SER/2021/00341",14689,49,"2021-02-01","2021-02-01","2020-09-01",16412
